url	query	relevance
https://www.bestbuy.com/site/searchpage.jsp?id=pcat17071&st=acer+aspire+laptop	acer aspire	RELEVANT_PLUS
https://www.modcloth.com/shop/high-waisted-pants	high waisted pants for women	404
https://www.tennisexpress.com/bag-sale	tennis bag	RELEVANT_MINUS
https://www.glovesmag.com/kickboxing-gloves/	kickboxing gloves	RELEVANT_PLUS
https://www.amazon.com/Playstation-PS4-1TB-Console-AlleyFlex/dp/B08QF4PB4B?ref_=Oct_s9_apbd_otopr_hd_bw_b710gst&pf_rd_r=XW2SWJAFR6JYK7VCXJSW&pf_rd_p=13383fcd-a984-4438-a2f3-4286dd71368c&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=6427871011	playstation 4 price	RELEVANT_PLUS
https://www.bedbathandbeyond.com/store/category/health-beauty/fitness-wellness/scales/13569/?icid=hp_cm_V4_cm5_scales_16685	electronic scale	RELEVANT_PLUS
https://www.woodworkerssource.com	surfboards	RELEVANT_PLUS
https://www.cobragolf.com/golf-clubs/irons	Ironing boards	RELEVANT_PLUS
https://www.bestbuy.com/site/office-furniture-storage/gaming-chairs/abcat0106021.c?id=abcat0106021	gamer chair	IRRELEVANT
https://bestbasketballmag.com/portable-basketball-hoop/	adjustable portable basketball hoop	RELEVANT_MINUS
https://www.skis.com	inline skates	404
https://www.chapmoto.com/motorcycle-helmets	football helmet	IRRELEVANT
https://www.chokesports.com/collections/boxing-gloves/products/isami-pro-boxing-gloves	boxing gloves	RELEVANT_MINUS
https://sidelineswap.com/gear/softball/bats/2938383-louisville-slugger-lxt-30-19-11-fastpitch-softball-bat	softball bats	RELEVANT_PLUS
https://www.sportsunlimitedinc.com/adams-football-equipment.html	adams football equipment	RELEVANT_PLUS
https://www.childrensplace.com/us/c/girls-clothing-school-uniforms-dresses-and-jumpers	school uniform dresses	RELEVANT_PLUS
https://offerup.com/explore/k/bar-stools/	home stools for sale near me	404
https://www.brides.com/gallery/short-weddings-dresses	short wedding dress	RELEVANT_PLUS
https://www.target.com/c/coffee-mugs-tea-cups-glassware-drinkware-kitchen-dining/-/N-4yklc	thermo mugs	404
https://www.costco.com/bunk-beds.html	bunk beds	RELEVANT_MINUS
https://homebnc.com/best-flower-bed-ideas/	bed linen with flowers	IRRELEVANT
https://threadcurve.com/types-of-skirts/	skirt with animalistic print	IRRELEVANT
https://www.walmart.com/browse/aqua-fitness/aqua-fitness-kits/4125_4134_4522918_1932850	aqua fitness kit	RELEVANT_PLUS
https://diyprojects.com/flower-pot-stand-diy/	4-layer wooden flower stand	RELEVANT_MINUS
https://www.walmart.com/browse/home/shop-all-table-lamps-by-style/xiaomi/4044_133012_133113_4887881_6619106_4666247_1673446/YnJhbmQ6WGlhb21p?cat_id=4044_133012_133113_4887881_6619106_4666247_1673446&facet=brand%3AXiaomi	xiaomi desk lamp walmart	404
https://www.ikea.com/us/en/cat/ottomans-20926/	ottomans and poufs	RELEVANT_MINUS
https://www.macys.com/shop/womens-clothing/pajama-sets?id=55811	pajamas	RELEVANT_PLUS
https://www.urbanscooters.com/products/belize-tri-rider-industrial-tricycle	adult tricycle	IRRELEVANT
https://www.kpbilliards.com/store/air-hockey/?page=2	hockey pucks	RELEVANT_PLUS
https://shop.usa.canon.com/shop/en/catalog/printers-all-in-ones/photo-all-in-one-inkjet-printers	canon printer pixma	RELEVANT_MINUS
https://mrfancypants.shop	swimwear shop online	IRRELEVANT
https://www.amazon.com/Tzowla-Backpack-Business-Shopping-Netbook-M1-Black/dp/B089CZ56TY/ref=sr_1_1_sspa?dchild=1&keywords=business+laptop&qid=1610751894&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExNFZSNzlORlQxT1Y0JmVuY3J5cHRlZElkPUEwMjc4MzMxUEJRVjJCTFVJSkJEJmVuY3J5cHRlZEFkSWQ9QTA3NzIxNTMxTENPQks4TUpLWFpDJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==	business laptops	RELEVANT_MINUS
https://www.gap.com/browse/category.do?cid=63895#pageId=0&department=48&mlink=6170,19543333,DP_KTB_SEO_Image	gap kids	RELEVANT_PLUS
https://www.adidas.com/us/hoodies_sweatshirts	adidas hoodies & sweatshirts	RELEVANT_PLUS
https://www.usa.philips.com/c-p/HD9650_96/premium	philips lamps	RELEVANT_MINUS
https://www.thespruce.com/best-laptop-tables-5080271	dining tables	IRRELEVANT
https://www.neimanmarcus.com/p/lafayette-148-new-york-lyons-plonge-lambskin-midi-skirt-prod234320366	mini skirt with pockets	RELEVANT_MINUS
https://www.childrensplace.com/us/c/boys-polo-shirts	boys' polo shirts	IRRELEVANT
https://www.wateroutfitters.com/radar-skis-sure-grip-water-ski-rope/506068P.html	water ski rope	RELEVANT_PLUS
https://www.walmart.com/ip/Rachel-Rachel-Roy-Color-Block-Hoodie/154455353	color block hoodie	RELEVANT_PLUS
https://www.thefreedictionary.com/pants	yoga pants	IRRELEVANT
https://kidsbikesshop.com/product/12-huffy-52454-steel-bicycle-frame-disney-princess-girls-bike-with-doll-carrier-pink-color-by-huffy/	kids' bikes	404
https://www.wayfair.com/keyword.php?keyword=kitchen+counter+bar	bar counter in kitchen	RELEVANT_PLUS
https://www.toolsofmen.com/best-fogless-shaving-mirror/	bathroom mirrors for shaving	RELEVANT_PLUS
https://www.expresstrainers.com	waist trainers	RELEVANT_MINUS
https://giftcardsupplystore.com/product-category/sleeves/	football arm sleeves	RELEVANT_PLUS
